1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,2681,2681,0,-607,1180,0,1824,568,0,0,-284,0,-19,0,2700
1959:Q1,6559,6559,0,3007,-1068,0,3288,120,0,0,1212,0,1960,0,4599
1959:Q2,6779,6779,0,-429,532,0,4364,596,0,0,1716,0,2610,0,4169
1959:Q3,8139,8139,0,367,-100,0,4584,624,0,0,2664,0,3573,0,4566
1959:Q4,9415,9415,0,2247,1924,0,2928,784,0,0,1532,0,1353,0,8062
1960:Q1,3428,3428,0,-740,-2244,0,3880,96,0,0,2436,0,2263,0,1165
1960:Q2,6116,6116,0,28,644,0,2920,860,0,0,1664,0,2074,0,4042
1960:Q3,3932,3932,0,-560,-392,0,2216,764,0,0,1904,0,1226,0,2706
1960:Q4,2664,2664,0,-708,1100,0,1228,576,0,0,468,0,241,0,2423
1961:Q1,1685,1685,0,-279,-2432,0,4616,-172,0,0,-48,0,-1041,0,2726
1961:Q2,-519,-519,0,-359,676,0,-1016,652,0,0,-472,0,-1365,0,846
1961:Q3,2157,2157,0,625,140,0,1336,52,0,0,4,0,-492,0,2649
1961:Q4,5425,5425,0,-11,1328,0,2528,188,0,0,1392,0,962,0,4463
1962:Q1,3551,3551,0,1671,-1412,0,1584,264,0,0,1444,0,1808,0,1743
1962:Q2,8067,8067,0,1079,972,0,4120,868,0,0,1028,0,2349,0,5718
1962:Q3,5235,5235,0,715,-4,0,2404,432,0,0,1688,0,2224,0,3011
1962:Q4,6783,6783,0,-373,1184,0,3372,340,0,0,2260,0,2920,0,3863
1963:Q1,7859,7859,0,2203,-1396,0,4256,208,0,0,2588,0,3071,0,4788
1963:Q2,7279,7279,0,91,848,0,4412,872,0,0,1056,0,2984,0,4295
1963:Q3,9247,9247,0,1559,184,0,4536,396,0,0,2572,0,2635,0,6612
1963:Q4,9719,9719,0,-33,1316,0,5452,296,0,0,2688,0,2981,0,6738
1964:Q1,10739,10739,0,3411,-1148,0,4840,740,0,0,2896,0,3240,0,7499
1964:Q2,8855,8855,0,-1177,552,0,6372,1172,0,0,1936,0,3400,0,5455
1964:Q3,10079,10079,0,1703,132,0,5060,732,0,0,2452,0,3029,0,7050
1964:Q4,8255,8255,0,-193,1368,0,4424,920,0,0,1736,0,2231,0,6024
1965:Q1,11967,11967,0,3799,-1136,0,6264,448,0,0,2592,0,3520,0,8447
1965:Q2,11799,11799,0,-1213,668,0,8232,1364,0,0,2748,0,3955,0,7844
1965:Q3,9327,9327,0,1327,32,0,4064,1204,0,0,2700,0,3728,0,5599
1965:Q4,7455,7455,0,-133,1480,0,3980,1148,0,0,980,0,2949,0,4506
1966:Q1,10067,10067,0,3539,-1356,0,6260,-84,0,0,1708,0,2439,0,7628
1966:Q2,5467,5467,0,-1557,516,0,3876,1324,0,0,1308,0,1396,0,4071
1966:Q3,3635,3635,0,-125,-420,0,768,1528,0,0,1884,0,990,0,2645
1966:Q4,4563,4563,0,-1173,1052,0,1416,1136,0,0,2132,0,1723,0,2840
1967:Q1,3867,3867,0,3883,-1336,0,1180,540,0,0,-400,0,116,0,3751
1967:Q2,4127,4127,0,-1881,304,0,4648,1044,0,0,12,0,-74,0,4201
1967:Q3,5815,5815,0,183,-412,0,4404,836,0,0,804,0,27,0,5788
1967:Q4,6771,6771,0,-1049,980,0,4460,912,0,0,1468,0,487,0,6284
1968:Q1,7764,7764,0,4176,-1120,0,2828,1076,0,0,804,805,2527,0,4432
1968:Q2,9612,9612,0,-1944,340,0,7392,1572,0,0,2252,871,2609,0,6132
1968:Q3,10752,10752,0,-1284,-580,0,8572,1640,0,0,2404,976,3509,0,6267
1968:Q4,14900,14900,0,-488,1280,0,8908,1488,0,0,3712,568,4223,0,10109
1969:Q1,12620,12620,0,5708,-1288,0,5240,1600,0,0,1360,1318,2940,0,8362
1969:Q2,11760,11760,0,-2472,148,0,7872,2688,0,0,3524,1586,3710,0,6464
1969:Q3,7628,7628,0,-616,-328,0,3300,2232,0,0,3040,1767,1405,0,4456
1969:Q4,7620,7620,0,-1696,908,0,3824,1372,0,0,3212,1789,2337,0,3495
1970:Q1,5195,5195,0,887,-1192,0,1656,2184,0,0,1660,1587,-1184,0,4792
1970:Q2,3231,3231,0,-1129,256,0,2144,1420,0,0,540,1114,-1343,0,3461
1970:Q3,6347,6347,0,3539,408,0,3568,924,0,0,-2092,1607,1247,0,3493
1970:Q4,2943,2943,0,-757,996,0,1680,600,0,0,424,1333,-1204,0,2815
1971:Q1,18265,18265,0,9669,-1492,0,6832,1316,0,0,1940,9973,2618,0,5674
1971:Q2,11161,11161,0,-467,340,0,8316,2028,0,0,944,1039,3580,0,6542
1971:Q3,15013,15013,0,1609,-136,0,9444,1696,0,0,2400,1875,4110,0,9028
1971:Q4,17893,17893,0,-203,820,0,11144,2096,0,0,4036,710,6468,0,10715
1972:Q1,16546,16546,0,-1614,-1364,0,11260,2624,0,0,5640,569,11236,0,4742
1972:Q2,20738,20738,0,1610,144,0,13240,2820,0,0,2924,1430,7026,0,12282
1972:Q3,16938,16938,0,2142,-144,0,11220,496,0,0,3224,1822,4348,0,10768
1972:Q4,23834,23834,0,598,1036,0,16864,2836,0,0,2500,867,6763,0,16204
1973:Q1,24978,24978,0,-5086,-1356,0,21932,3492,0,0,5996,1824,7205,0,15948
1973:Q2,25582,25582,0,2290,332,0,16564,2692,0,0,3704,2242,7071,0,16269
1973:Q3,19286,19286,0,-378,-424,0,12952,2000,0,0,5136,1891,5023,0,12373
1973:Q4,19990,19990,0,750,676,0,12524,2492,0,0,3548,2079,4341,0,13570
1974:Q1,14340,14340,0,4612,-1264,0,5956,1756,0,0,3280,933,-211,0,13617
1974:Q2,13472,13472,0,1692,180,0,7304,1972,0,0,2324,3298,1448,0,8727
1974:Q3,9660,9660,0,-1404,-504,0,4864,3284,0,0,3420,3653,2750,0,3257
1974:Q4,-1688,-1688,0,-420,172,0,-2204,2036,0,0,-1272,4,-2011,0,319
1975:Q1,2113,2113,0,4037,-1752,0,-2676,2528,0,0,-24,698,-648,0,2063
1975:Q2,-2651,-2651,0,-1259,56,0,-776,1884,0,0,-2556,1509,-1372,0,-2789
1975:Q3,11773,11773,0,-1999,-508,0,7860,5668,0,0,752,4458,4727,0,2588
1975:Q4,19845,19845,0,2965,544,0,11708,5004,0,0,-376,-1314,8293,0,12866
1976:Q1,19262,19262,0,6030,-1316,0,7828,5152,0,0,1568,1567,9472,0,8223
1976:Q2,18102,18102,0,-1190,156,0,12608,6028,0,0,500,2723,10321,0,5059
1976:Q3,19762,19762,0,-2742,-488,0,14568,5796,0,0,2628,7189,8897,0,3676
1976:Q4,30734,30734,0,7054,900,0,15872,5036,0,0,1872,-2799,10438,0,23095
1977:Q1,28264,28264,0,-876,-1276,0,17320,6128,1076,0,5892,63357,11816,0,-46909
1977:Q2,40920,40920,0,3532,-416,0,26168,7392,80,0,4164,7368,15335,0,18217
1977:Q3,36092,36092,0,36,-848,0,23924,6312,320,0,6348,9631,14953,0,11508
1977:Q4,37884,37884,0,752,604,0,25356,5912,20,0,5240,7980,14280,0,15624
1978:Q1,39675,39675,0,4799,-2056,0,23044,7336,300,0,6252,4749,14109,0,20817
1978:Q2,60227,60227,0,3543,-544,0,38288,10960,400,0,7580,9216,23775,0,27236
1978:Q3,45191,45191,0,-321,-576,0,29600,5812,220,0,10456,12508,16786,0,15896
1978:Q4,40559,40559,0,527,1020,0,19228,6160,680,0,12944,9667,16394,0,14498
1979:Q1,45223,45223,0,6563,-2024,0,23432,4360,460,0,12432,6663,17500,0,21061
1979:Q2,44711,44711,0,4739,-404,0,26156,2212,440,0,11568,9174,17621,0,17916
1979:Q3,45931,45931,0,-1561,-520,0,29372,3804,540,0,14296,10487,10623,0,24820
1979:Q4,37379,37379,0,-2541,648,0,25504,-1512,920,0,14360,8188,9296,0,19895
1980:Q1,17909,17909,0,-799,-1896,0,5880,-4128,908,0,17944,4145,7571,0,6193
1980:Q2,-25283,-25283,0,2309,-736,0,-22960,-12272,1560,0,6816,-3123,-9757,0,-12404
1980:Q3,5961,5961,0,2417,-300,0,1672,-420,624,0,1968,2191,-3946,0,7717
1980:Q4,15125,15125,0,485,0,0,4004,3488,1444,0,5704,3063,4336,0,7726
1981:Q1,21285,21285,0,5373,-300,0,668,3932,3088,0,8524,7060,7666,0,6559
1981:Q2,22921,22921,0,4265,-100,0,9780,5392,952,0,2632,9306,6097,0,7519
1981:Q3,27865,27865,0,-2415,0,0,7392,2588,2728,0,17572,6409,11844,0,9612
1981:Q4,7281,7281,0,-3539,-100,0,3408,-1276,1980,0,6808,2430,5486,0,-634
1982:Q1,22625,22625,0,-2479,0,0,12332,2304,864,0,9604,5036,6552,0,11038
1982:Q2,20689,20689,0,1773,-100,0,8528,636,1504,0,8348,7364,9265,0,4061
1982:Q3,9769,9769,0,-147,0,0,7180,2460,2404,0,-2128,8012,-3738,0,5495
1982:Q4,22261,22261,0,2713,0,0,9188,3000,1576,0,5784,2205,18869,0,1187
1983:Q1,23876,23876,0,-7112,0,0,9148,4456,-2492,0,19876,8644,8266,0,6966
1983:Q2,37940,37940,0,8280,0,0,16352,5360,-1708,0,9656,11117,16668,0,10154
1983:Q3,52892,52892,0,14420,0,0,35992,9196,-1432,0,-5284,14967,20794,0,17130
1983:Q4,77932,77932,0,2724,0,0,49172,10208,-1696,0,17524,18635,29295,0,30002
1984:Q1,79420,79420,0,-9252,0,0,62548,15872,-896,0,11148,20085,33426,0,25909
1984:Q2,99272,99272,0,7516,0,0,69680,12812,2684,0,6580,25744,32024,0,41504
1984:Q3,71504,71504,0,16912,0,0,53420,8116,1604,0,-8548,22399,20343,0,28762
1984:Q4,76628,76628,0,-3124,0,0,46024,10188,576,0,22964,21588,30590,0,24450
1985:Q1,99470,99470,0,-9754,0,0,77876,11960,276,0,19112,32917,41645,0,24907
1985:Q2,79354,79354,0,6062,0,0,47064,7024,1760,0,17444,18181,36403,0,24770
1985:Q3,85326,85326,0,20430,0,0,40812,2008,1288,0,20788,25323,36884,0,23118
1985:Q4,71810,71810,0,-230,0,0,41360,3600,1580,0,25500,24766,30723,0,16321
1986:Q1,55403,55403,0,-2225,0,0,39452,1440,592,0,16144,24255,27879,0,3269
1986:Q2,67459,67459,0,6415,0,0,35020,3796,3444,0,18784,17222,37949,0,12288
1986:Q3,64611,64611,0,11595,0,0,18300,1976,716,0,32024,12587,52473,0,-450
1986:Q4,35651,35651,0,2263,0,0,20236,5032,748,0,7372,15332,26395,0,-6075
1987:Q1,-13496,-13496,0,3992,0,0,-3872,-300,524,0,-13840,11272,9938,0,-34706
1987:Q2,47516,47516,0,10080,0,0,27588,5016,2616,0,2216,26508,22302,0,-1294
1987:Q3,53972,53972,0,12392,0,0,17724,6692,2412,0,14752,27201,27174,0,-402
1987:Q4,41148,41148,0,1580,0,0,23860,4404,1924,0,9380,17967,15110,0,8071
1988:Q1,58496,58496,0,9112,0,0,39568,9188,2592,0,-1964,29815,30326,0,-1645
1988:Q2,50920,50920,0,5236,0,0,36032,6760,3216,0,-324,21740,21084,0,8096
1988:Q3,40000,40000,0,7296,0,0,24936,7492,3888,0,-3612,18771,15880,0,5348
1988:Q4,36848,36848,0,5272,0,0,12040,5808,2940,0,10788,28957,8186,0,-295
1989:Q1,45388,45388,0,-11945,0,0,19170,1534,1884,27053,7692,-10651,-15096,0,71135
1989:Q2,54220,54220,0,-4313,0,0,26597,4680,2280,13380,11597,27856,10954,0,15410
1989:Q3,35764,35764,0,2381,0,0,17614,5711,2692,8785,-1420,21990,-4315,0,18088
1989:Q4,52544,52544,0,26165,0,0,9702,1331,4452,31722,-20828,33344,713,0,18486
1990:Q1,18032,18032,0,108,0,0,-12647,2213,2924,32883,-7448,26927,-57,0,-8838
1990:Q2,18068,18068,0,-4286,0,0,-17360,-1774,2140,43030,-3682,33734,884,0,-16550
1990:Q3,31660,31660,0,6233,0,0,-1969,747,2292,12458,11900,35794,-11753,0,7619
1990:Q4,-7336,-7336,0,11193,0,0,-24872,-1413,5500,28942,-26685,18001,-17050,0,-8288
1991:Q1,1875,1875,0,-13019,0,0,-4094,-2574,3536,37276,-19249,32146,-20817,0,-9454
1991:Q2,-8037,-8037,0,-9247,0,0,-25275,-5146,1960,28156,1514,24588,-31803,0,-821
1991:Q3,-19029,-19029,0,3265,0,0,-34365,-863,608,27610,-15283,26402,-20388,0,-25043
1991:Q4,-10049,-10049,0,2389,0,0,-13430,3403,1340,12135,-15886,21584,-5700,0,-25933
1992:Q1,6750,6750,0,-15347,0,0,-19209,8054,3184,33259,-3192,12135,6251,0,-11636
1992:Q2,-7566,-7566,0,2730,0,0,-11258,-11800,3096,15831,-6165,18297,-15846,0,-10018
1992:Q3,12790,12790,0,11815,0,0,-13814,5818,4060,6349,-1438,10635,3617,0,-1462
1992:Q4,24778,24778,0,11814,0,0,-4036,3496,1936,13840,-2272,19609,5069,0,100
1993:Q1,32019,32019,0,-21747,0,0,35688,11447,1816,18006,-13191,29263,21808,0,-19051
1993:Q2,42491,42491,0,11291,0,0,30078,9105,2812,-519,-10277,23811,19706,0,-1026
1993:Q3,69031,69031,0,17406,0,0,31117,9436,2860,8150,62,37325,25665,0,6041
1993:Q4,102059,102059,0,20705,0,1412,36322,9772,3040,15074,15734,40614,35945,0,25500
1994:Q1,106079,106079,0,-17067,0,-12,71763,12257,2964,12768,23406,45315,37385,0,23379
1994:Q2,134879,134879,0,15641,0,16,60577,19960,4628,18520,15537,60946,48899,0,25034
1994:Q3,135987,135987,0,16030,0,816,67311,20328,2928,7296,21278,60171,43052,0,32764
1994:Q4,163051,163051,0,22965,0,25228,55093,19295,3740,23803,12927,66272,32384,0,64395
1995:Q1,148865,148865,0,-6171,0,36,68288,15959,4360,54282,12111,81438,37824,0,29602
1995:Q2,146533,146533,0,12776,0,-2652,46713,14405,6608,48530,20155,81309,25581,0,39643
1995:Q3,152485,152485,0,-2312,0,3820,46188,9684,3736,75779,15590,89784,38530,0,24172
1995:Q4,140077,140077,0,-10541,0,8064,19568,9332,1160,89541,22953,74509,45548,0,20019
1996:Q1,116789,116789,0,-2403,0,3875,21336,9798,-1820,74020,11984,62388,38534,0,15867
1996:Q2,110089,110089,0,-26926,0,11946,56260,13092,-916,55650,983,57255,39483,0,13351
1996:Q3,90309,90309,0,-20990,0,3939,43336,14840,-3140,48053,4271,41687,28347,0,20276
1996:Q4,105685,105685,0,21055,0,14197,-1972,11105,3544,63898,-6142,76547,16120,0,13018
1997:Q1,41808,41808,0,-22072,0,6021,-27980,11303,-3624,48571,29589,29062,4497,0,8249
1997:Q2,73812,73812,0,-11448,0,17343,36009,9095,-5436,15134,13114,22784,31123,0,19906
1997:Q3,74072,74072,0,285,0,735,-4684,4991,-4348,74444,2648,44033,25654,0,4385
1997:Q4,91456,91456,0,59891,0,15756,-43097,7467,-3520,49730,5229,28585,40790,0,22081
1998:Q1,33452,33452,0,-21675,0,9168,-34675,6010,-7184,70502,11307,26029,25814,0,-18391
1998:Q2,165024,165024,0,639,0,11851,18237,553,-8528,124486,17786,81933,26570,0,56521
1998:Q3,94256,94256,0,-30515,0,9458,30929,2670,4628,62899,14187,21294,46892,0,26069
1998:Q4,95696,95696,0,31312,0,5047,-5947,2943,6480,35929,19932,39248,54452,0,1996
1999:Q1,121773,121773,0,-12177,0,10539,4906,14440,7460,72328,24277,31780,69380,0,20613
1999:Q2,115985,115985,0,12266,0,11931,-30888,2962,6340,87311,26064,37567,52313,0,26105
1999:Q3,129217,129217,0,-22101,0,10487,-5134,13642,15848,126870,-10395,38376,50992,0,39849
1999:Q4,82429,82429,0,9100,0,12931,51564,19016,-7892,-35533,33242,11510,24846,0,46073
2000:Q1,123161,123161,0,-24015,0,10853,43398,19734,-8420,35281,46331,61959,66430,0,-5228
2000:Q2,194169,194169,0,13826,0,12370,52960,17436,-2128,68698,31007,62722,89233,0,42213
2000:Q3,195193,195193,0,22842,0,12612,68288,14184,-11208,72743,15732,81679,44964,0,68550
2000:Q4,193657,193657,0,8823,0,10862,20758,14698,6088,94270,38158,92755,64177,0,36725
2001:Q1,173966,173966,0,-33974,0,12614,51378,5783,2352,98836,36979,75552,62920,0,35494
2001:Q2,126982,126982,0,-29728,0,14916,43495,4058,4632,52427,37182,40715,69321,0,16946
2001:Q3,87214,87214,0,18384,0,11028,-17366,-2390,2212,79634,-4288,-18405,77687,0,27933
2001:Q4,214074,214074,0,11567,0,12674,17305,13093,544,46679,112212,33522,162005,0,18547
2002:Q1,108270,108270,0,-33226,0,6362,68748,3073,-1804,13782,51337,18501,59439,0,30329
2002:Q2,130886,130886,0,-1154,0,7432,17311,6662,6996,47387,46252,51237,34902,0,44747
2002:Q3,94802,94802,0,30989,0,10649,47170,10478,524,-19841,14834,43623,18176,0,33004
2002:Q4,86762,86762,0,10371,0,7641,-6284,4484,-16152,88933,-2230,34759,25843,0,26160
2003:Q1,117060,117060,0,-29392,0,819,67469,3231,-6304,29686,51549,32873,32882,0,51305
2003:Q2,128920,128920,0,797,0,2843,63608,12287,-15968,-17481,82834,14136,65371,0,49413
2003:Q3,95964,95964,0,26534,0,1486,14453,11923,-16280,-71538,129386,12115,62511,0,21337
2003:Q4,81756,81756,0,-60863,0,2356,102421,13090,-26512,-27072,78335,13936,42000,0,25821
2004:Q1,131741,131741,0,-38282,0,2625,83596,19958,-18352,-41248,123444,36245,30766,0,64730
2004:Q2,75377,75377,0,12609,0,2889,31433,14335,-54944,-31522,100576,1699,31975,0,41704
2004:Q3,130933,130933,0,27168,0,4088,36077,-2071,-8912,-12280,86864,61532,52043,0,17358
2004:Q4,130693,130693,0,-911,0,5229,42117,5806,0,-7874,86325,36660,38728,0,55304
2005:Q1,113566,113566,0,-25813,0,3824,27808,19718,0,45477,42552,4653,51192,0,57722
2005:Q2,112290,112290,0,20161,0,4159,4098,17369,0,56634,9869,33489,24589,0,54212
2005:Q3,96954,96954,0,22402,0,6412,91206,15945,0,-45577,6567,30759,23451,0,42744
2005:Q4,78934,78934,0,-15262,0,597,-40928,-215,0,96979,37764,60147,1704,0,17083
2006:Q1,78986,78986,-5812,14167,0,5016,45680,14160,0,23441,-17666,53926,-41927,-13392,80379
2006:Q2,114821,114821,5448,-9591,0,7712,76079,8577,0,2252,24345,65759,-17681,24636,42107
2006:Q3,124000,124000,18336,-31671,0,-2897,52683,-89,0,33384,54254,41324,19379,93688,-30391
2006:Q4,162621,162621,5980,4974,0,-3411,34191,7265,0,85539,28083,64250,19553,43336,35482
2007:Q1,110870,110870,11848,16466,0,8594,44270,3437,0,6226,20030,58347,-2007,57812,-3282
2007:Q2,138751,138751,-156,-8127,0,17155,71366,-761,0,4927,54347,61846,7742,73777,-4614
2007:Q3,181309,181309,15884,-30240,0,-2258,63830,-1643,0,82132,53604,86299,49926,67012,-21928
2007:Q4,169925,169925,3208,26428,0,4477,53074,987,0,37883,43867,104502,9077,73827,-17481
2008:Q1,144508,144508,14564,10328,0,9442,69164,-6275,0,12194,35091,60587,-9304,77620,15605
2008:Q2,67224,67224,404,-31933,0,51770,80349,-2765,0,1119,-31721,10200,-10611,86161,-18526
2008:Q3,-20082,-20082,12348,-12183,0,-8007,54227,3158,0,-84481,14856,-27045,-12601,92470,-72906
2008:Q4,-54401,-54401,-1772,23866,0,24771,76588,4397,0,-97976,-84274,-34256,-63019,89603,-46729
2009:Q1,-83844,-83844,5820,34172,0,24622,-44602,13718,0,-44370,-73204,-77938,-84243,75522,2815
2009:Q2,-148610,-148610,-11416,-39653,0,85214,-104876,-10182,0,-23226,-44472,-85462,-65288,75732,-73592
2009:Q3,-59524,-59524,-2948,9815,0,56411,-31813,12126,0,-43082,-60033,-60895,-36970,97231,-58890
2009:Q4,-86311,-86311,-17032,-19219,0,223741,-76710,-11958,0,-40338,-144795,-127387,-46266,134503,-47161
2010:Q1,-83083,-83083,7624,29470,0,36447,-9811,-17464,0,-123348,-6002,-84974,-622,63052,-60539
2010:Q2,-68219,-68219,-6732,-29547,0,121824,-73903,-18842,0,-15802,-45216,-86462,-50538,99977,-31196
2010:Q3,3777,3777,-21816,6885,0,178588,-84293,-13459,0,-18698,-43430,-64381,-55841,97822,26177
2010:Q4,34913,34913,-23888,-17019,0,187677,-113381,7137,0,-11309,5696,-43901,-55212,74283,59743
2011:Q1,105905,105905,-4912,21993,0,171911,-43421,-14120,0,-3007,-22540,-12491,-8762,113879,13279
2011:Q2,86805,86805,-4336,-14539,0,118280,28988,-723,0,-10304,-30560,757,4903,89188,-8043
2011:Q3,101562,101562,-3604,2933,0,112421,2722,3197,0,-4981,-11126,5843,18691,98820,-21792
2011:Q4,144727,144727,-4160,-6540,0,121288,39951,-2114,0,1760,-5458,10893,53043,115474,-34683
2012:Q1,136265,136265,-12148,7468,0,110813,334,19577,0,9100,1121,3734,44701,85003,2827
2012:Q2,173173,173173,-2108,-5662,0,158784,22075,19508,0,1308,-20732,-10296,66572,124248,-7351
2012:Q3,146883,146883,-13904,1526,0,121285,35806,13622,0,-1713,-9738,10287,63171,76444,-3019
2012:Q4,179728,179728,-8036,-5166,0,119070,39457,29728,0,6445,-1770,-3683,66527,93269,23615
2013:Q1,189100,189100,-7152,-15818,0,129514,53636,27658,0,4770,-3509,21311,65688,95848,6253
2013:Q2,161164,161164,-7112,-4600,0,109873,43656,15710,0,-7780,11418,15530,62071,86756,-3193
2013:Q3,188968,188968,-7308,2732,0,107653,64022,27169,0,-2701,-2600,9384,79035,94827,5722
2013:Q4,172131,172131,-3164,-5646,0,106035,63346,17126,0,2324,-7889,10975,69142,86512,5502
2014:Q1,217563,217563,-4784,4337,0,115555,78533,34528,0,-4232,-6374,32001,75201,90671,19690
2014:Q2,236883,236883,-4640,-2909,0,109706,97275,41336,0,-6470,2585,44371,84629,90446,17437
2014:Q3,223089,223089,-7788,3575,0,117407,69311,31925,0,8661,-2,31165,76384,99901,15639
2014:Q4,206830,206830,236,-5738,0,100255,42713,41103,0,4621,23639,25879,79418,79784,21749
2015:Q1,219440,219440,-3036,2699,0,111920,70592,39702,0,-5116,2679,32444,81320,88250,17426
2015:Q2,262383,262383,-3104,-1493,0,106795,96940,43420,0,8356,11470,58838,83860,84176,35509
2015:Q3,234673,234673,-2360,-4025,0,94703,116013,35765,0,-14995,9573,51627,99382,87887,-4223
2015:Q4,218858,218858,-2228,1298,0,100247,117080,39273,0,-3373,-33438,48971,56646,77673,35568
2016:Q1,241418,241418,-2124,-3407,0,106636,120389,30562,0,-640,-9998,68609,67498,94280,11031
2016:Q2,234231,234231,-2492,-6386,0,98905,110057,41719,0,15029,-22602,62240,82997,85862,3132
