date,LA384104005.Q,LA154104005.Q,LA153165105.Q,LA153166000.Q,LA144104005.Q,LA104104005.Q,LA314104005.Q,LA214104005.Q,LA794104005.Q,LA264104005.Q
1945:Q4,352402,29442,18706,6800,55940,44653,254385,12635,5692,5520
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,343964,36067,23100,9777,63908,49889,231306,12683,5245,7823
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,356685,44913,28267,13298,72561,56780,224898,14313,5260,11904
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,369120,53423,33422,16332,79968,62811,220012,15717,7301,13116
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,384453,61273,37406,19374,82933,64394,223629,16618,8617,13469
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,411373,74845,45250,23947,92084,70439,223234,21210,11335,13614
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,576192,149515,93542,45160,143001,106470,235303,48373,20916,16390
1956:Q3,582823,152607,96143,45898,146132,108573,234687,49397,21319,16466
1956:Q4,590711,156401,98745,46580,148890,110961,235039,50381,21920,16696
1957:Q1,599622,159999,101229,47379,151976,113755,236274,51373,22053,17019
1957:Q2,603917,163622,103274,48136,155694,116775,232121,52480,22777,17199
1957:Q3,612909,166412,105360,48878,158445,118733,234373,53679,23902,17328
1957:Q4,617864,168575,107374,49217,161010,120632,233240,55039,24937,17978
1958:Q1,625194,170189,109397,48901,163417,122618,235182,56406,25326,18418
1958:Q2,635110,172311,111383,48625,165493,123711,239506,57800,26409,18881
1958:Q3,641445,175488,113984,48820,168230,125300,238587,59140,24364,19306
1958:Q4,656559,180371,117177,49490,172145,127965,243374,60669,25670,19848
1959:Q1,667735,185161,120390,51130,174820,129227,245641,62113,26024,19966
1959:Q2,682181,190689,123583,52825,179937,132391,247894,63661,28357,20333
1959:Q3,695695,196497,126952,54859,183278,134054,250546,65374,30187,20640
1959:Q4,707085,202315,130099,57213,186894,136645,251180,66696,32324,20684
1960:Q1,714738,205948,133067,58070,190620,139269,249998,68172,33041,21068
1960:Q2,724973,211109,135591,59599,194599,141908,249677,69588,34772,21499
1960:Q3,733297,215388,138517,60582,197125,143163,249804,70980,35817,21836
1960:Q4,742760,219861,141378,61248,200616,145592,250072,72211,37709,22420
1961:Q1,750351,223428,144159,61669,203006,146194,250311,73606,35794,23023
1961:Q2,761226,227806,146812,61540,206357,148192,252356,74707,37235,22977
1961:Q3,774513,231798,150111,62079,209874,149680,256548,76293,38072,23646
1961:Q4,788596,237901,154027,63435,214704,152987,258176,77815,40940,24413
1962:Q1,800217,241983,157045,64323,217937,154533,260736,79561,39917,25173
1962:Q2,813930,247273,160433,66340,223073,157690,262629,80955,41317,25643
1962:Q3,825118,253282,164277,67648,227384,160110,262285,82167,43018,25591
