date,FG384104005.Q,FG154104005.Q,FG153165105.Q,FG153166000.Q,FG144104005.Q,FG104104005.Q,FG314104005.Q,FG214104005.Q,FG794104005.Q,FG264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-2.622005550479282,22.50186807961416,23.48978937239389,43.77941176470588,12.81015373614587,11.87065451206212,-9.072468895571673,0.37989711119905,-7.853127196064652,41.72101449275362
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3.698352153132304,24.52657553996728,22.36796536796537,36.01309195049606,13.53977592789635,13.85896821768829,-2.770356151591398,12.85184893164078,0.285986653956149,52.16668797136649
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3.486269397367425,18.94774341504687,18.23681324512683,22.81546097157467,10.20796295530657,10.73032201667868,-2.172540440555274,9.809264305177113,38.8022813688213,10.18145161290323
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4.153933680104031,14.69404563577485,11.92029202321824,18.626010286554,3.707733093237295,2.519838778413212,1.644001236296202,5.732646179296303,18.02492809204218,2.691369319914608
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,7.002936639849344,22.15004977722651,20.96989787734588,23.60379890574997,11.03782571473358,9.392673207700044,-0.176631832186344,27.63268744734625,31.5423001044447,1.054272774519266
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,5.584226480590607,11.4930857104683,14.45745856353591,5.858771453626759,12.72968159506538,11.9667274608577,0.121845238628524,11.2022630834512,7.198941332157036,4.399882473923902
1952:Q1,8.062254659314601,10.79727252028233,12.07136237256719,9.412228796844181,6.253973758742269,5.650197935697046,5.005682174080338,35.30908165861104,-20.57443831783392,6.585520298318441
1952:Q2,8.597166099262129,15.50767507395026,11.97263611657764,24.59676642321701,8.661753407506474,7.139641722725469,2.156400931494501,42.04456911329282,47.68349817803227,5.952792967398076
1952:Q3,7.133088685285546,12.85300262856373,12.14878439365264,16.49117711132089,8.9349376114082,8.747503488266013,2.837515328120674,16.79475428329691,-7.875968992248062,1.391351793752558
1952:Q4,6.999432378723862,16.16194596359481,12.68080747425867,25.72748670560544,8.786937648704116,9.161597444670058,1.208010927960129,16.75406841019048,43.68179661553061,1.4137157615714
1953:Q1,7.031589995648056,17.40362989696114,12.87318542864969,25.87314068540725,6.255720340865671,7.583959030586152,1.917947691544583,15.83373924338366,-11.72025379625009,4.49712157128344
1953:Q2,6.402775703163285,13.75480242696427,13.85166511874751,10.85971458245182,5.273979194554538,4.375860032464092,2.513304839973845,15.58068345099019,21.8566392479436,6.188466947960619
1953:Q3,8.266923747119446,9.293062427011808,11.52859707617338,9.278427730425273,5.677619396236166,4.803001936435406,8.12455353684881,15.11680346351583,31.14206128133705,11.26500461680517
1953:Q4,3.214233220309533,9.760209505904193,10.9438783459537,5.402200408459056,-0.48915951185957,1.052414284404362,0.467309428009886,14.69378295382119,13.98113451350304,7.64641734556418
1954:Q1,3.703310270738297,6.698533626731264,10.3673147502199,-2.134974287860404,5.196881191065311,4.929915439762589,0.00337013804928,14.2849158888951,-25.36987327548536,3.550072386227733
1954:Q2,4.678967632390943,9.829111319755295,12.65392404689047,3.627729328986255,3.948395544625095,1.658667390964371,1.157632666472885,14.29958989855385,26.31473705258948,-3.468929373596207
1954:Q3,5.226311558834527,11.72701171103606,14.48407296487885,3.756314494192824,7.211190810635593,5.060757193615424,-0.226825948888553,13.74352027924666,2.376485303314572,-2.643338158474416
1954:Q4,7.293385797554823,15.44560346109821,16.82661725253755,10.21166171197182,4.167142927123986,4.227546529004134,3.802751194664044,14.04251032537524,13.70220702517874,5.119107957425241
1955:Q1,5.931974394300372,17.54792325637385,16.94888263708265,17.10925117481856,5.581861374618207,4.54495491075868,-0.989196278024105,13.39107586005547,1.226256311613369,-2.752408357312648
1955:Q2,7.937915015200134,18.85598738639504,17.00339915212161,21.7832738908703,10.81563533490059,8.591044003694435,-0.023372189598541,12.02504826027591,26.84724635944148,1.612496850592089
1955:Q3,6.841342233507299,15.78633572451192,15.2452129738179,19.16117693173341,9.087664302673847,7.161518304121027,-0.086816062641128,11.2444292080905,19.36317178637614,-0.200752823086575
1955:Q4,7.776939704358429,13.74316595517707,13.77265936547895,14.58814728116271,13.19515044838626,15.10499076074602,0.905086939278185,10.34122485272869,25.62536825753924,0.954054732613608
