county,year,op_death,dosage_unit,population,chain_pharmacy,practitioner,retail_pharmacy,total_employment,wage_and_salary_employment,proprietors_employment
sampson,2010,3,2523920,62832,882740,1880,1639300,25559,20168,5391
sampson,2011,7,2920200,63161,981880,520,1937800,25854,20309,5545
sampson,2012,2,2978240,63408,959000,940,2018300,25232,19867,5365
sampson,2013,4,3028550,63687,911980,2000,2114570,25288,20019,5269
sampson,2014,11,2895710,63842,979100,4300,1912310,25386,20098,5288
scotland,2009,0,2630010,36394,865100,1100,1763810,15921,13548,2373
scotland,2010,3,2618480,36325,888150,0,1730330,15405,13041,2364
scotland,2011,2,2946610,36227,1007410,0,1939200,15486,12648,2838
scotland,2012,2,3066170,36266,1066160,90,1999920,15052,12299,2753
scotland,2013,3,3330620,36201,1056070,90,2274460,14935,12308,2627
scotland,2014,4,3477600,36034,1625400,0,1852200,15233,12526,2707
stanly,2009,4,3507480,59136,1774290,2090,1731100,26272,19741,6531
stanly,2010,12,3498530,60109,1728190,2520,1767820,25802,19378,6424
stanly,2011,6,3405090,60394,1825530,3100,1576460,26228,19429,6799
stanly,2012,6,3531880,60489,1909780,4610,1617490,26034,19528,6506
stanly,2013,3,3464620,60529,2028020,4460,1432140,26450,19947,6503
stanly,2014,4,3530060,60553,1981970,2600,1545490,26610,19919,6691
stokes,2009,4,2033500,45916,828730,400,1204370,12977,7936,5041
stokes,2010,3,2025400,47194,848680,500,1176220,12684,7731,4953
stokes,2011,8,2245790,47294,972320,300,1273170,12935,7836,5099
stokes,2012,1,2352190,47224,1047070,400,1304720,12767,7742,5025
stokes,2013,3,2450160,47063,1106000,200,1343960,12844,7712,5132
stokes,2014,3,2246600,46858,1027550,300,1218750,13095,7941,5154
surry,2009,11,6042750,72166,3287790,300,2754660,37943,29656,8287
surry,2010,10,6410480,73287,3515060,1280,2894140,37377,28890,8487
surry,2011,7,6973710,73473,4010140,18040,2945530,37987,29153,8834
surry,2012,11,7167290,73551,3950230,294630,2922430,37922,29402,8520
surry,2013,10,6858060,73486,3650790,143700,3063570,38022,29279,8743
surry,2014,13,6954330,73391,3844150,17700,3092480,38823,29848,8975
swain,2009,2,647480,13367,258560,0,388920,7882,6438,1444
swain,2010,7,630260,13861,238130,0,392130,8026,6634,1392
swain,2011,1,689790,13932,304490,0,385300,8285,6427,1858
swain,2012,2,639740,13995,255490,0,384250,8245,6336,1909
swain,2013,1,593790,14017,233290,0,360500,8138,6399,1739
swain,2014,1,590890,14070,230250,0,360640,8485,6717,1768
transylvania,2009,5,1631480,29886,1079300,0,552180,14697,9644,5053
transylvania,2010,3,1825020,32404,1129300,460,695260,14070,9263,4807
transylvania,2011,3,1946120,32670,1122030,580,823510,13774,8904,4870
transylvania,2012,4,1756210,32825,1130570,400,625240,13796,8971,4825
transylvania,2013,5,1649060,32894,1064610,360,584090,13851,9007,4844
transylvania,2014,4,1701000,32943,1121490,500,579010,14170,9162,5008
tyrrell,2009,0,125000,4112,0,0,125000,1771,1252,519
tyrrell,2010,0,155500,4374,0,0,155500,1782,1260,522
tyrrell,2011,0,182800,4379,0,0,182800,1744,1234,510
tyrrell,2012,1,195800,4367,0,0,195800,1762,1280,482
tyrrell,2013,0,173500,4272,0,0,173500,1764,1282,482
tyrrell,2014,0,169600,4219,0,0,169600,1789,1278,511
union,2009,6,4961290,181852,3785990,3500,1171800,79640,56728,22912
union,2010,5,5190500,190346,3892010,2500,1295990,77644,54854,22790
union,2011,5,5934590,196931,4459250,4310,1471030,81351,56373,24978
union,2012,4,6218310,201617,4797800,3810,1416700,82952,58094,24858
union,2013,8,6428460,205426,4858480,2540,1567440,85447,59715,25732
union,2014,10,6484850,209387,4929550,1600,1553700,88860,62104,26756
vance,2009,2,3318310,42987,1503680,2330,1812300,19766,15890,3876
vance,2010,2,3319210,44975,1443010,1300,1874900,19696,15880,3816
vance,2011,1,3488010,45112,1442880,2000,2043130,19234,15355,3879
vance,2012,1,3548140,45183,1455770,470,2091900,19494,15701,3793
vance,2013,1,3603290,45120,1370590,700,2232000,19553,15762,3791
vance,2014,2,3301820,44998,1401760,1400,1898660,19779,15729,4050
wake,2009,24,21025305,828759,16066850,64435,4894020,587416,464590,122826
wake,2010,28,21555708,850546,16443510,51688,5060510,588268,464596,123672
wake,2011,26,24151936,879658,18467130,41566,5643240,608903,480788,128115
wake,2012,17,25106398,905573,19070560,34858,6000980,628165,497445,130720
wake,2013,27,25312640,929214,18903000,46250,6363390,647327,512009,135318
wake,2014,23,25560390,952513,19249890,29900,6280600,673213,530536,142677
warren,2009,0,264700,19545,188800,0,75900,5523,3963,1560
warren,2010,0,232000,20810,186100,0,45900,5139,3636,1503
warren,2011,0,251100,20882,213000,0,38100,5134,3646,1488
warren,2012,0,245800,20860,198300,0,47500,5115,3699,1416
warren,2013,1,243410,20792,186310,0,57100,5016,3607,1409
warren,2014,0,271300,20628,179200,0,92100,5068,3633,1435
washington,2009,0,412190,12979,239190,0,173000,4915,3778,1137
washington,2010,0,456500,13248,244500,0,212000,4844,3748,1096
washington,2011,0,522750,13179,284350,0,238400,4747,3558,1189
washington,2012,0,591950,13085,299050,0,292900,4615,3472,1143
washington,2013,0,588120,12958,276620,0,311500,4665,3574,1091
washington,2014,0,542400,12837,236900,0,305500,4651,3482,1169
watauga,2009,6,1611340,44636,713960,3080,894300,31558,23848,7710
watauga,2010,1,1545302,49705,726390,3512,815400,31118,23506,7612
watauga,2011,2,1688080,50421,820580,1800,865700,31270,23485,7785
watauga,2012,2,1736190,51103,864880,2510,868800,31496,23632,7864
watauga,2013,3,1716710,51557,844730,3320,868660,31664,23655,8009
watauga,2014,2,1735110,51903,826930,2500,905680,32376,24245,8131
wayne,2009,6,4144800,113290,2339370,17140,1788290,59757,50579,9178
wayne,2010,5,4465380,120102,2389800,64500,2011080,58747,49696,9051
wayne,2011,6,4962330,121324,2746850,47640,2167840,60034,50291,9743
wayne,2012,4,5371680,122419,2894510,13490,2463680,59949,50298,9651
wayne,2013,5,5487550,123382,2913760,12830,2560960,59386,49910,9476
wayne,2014,1,5130340,124093,2848730,24000,2257610,59121,49363,9758
wilkes,2009,25,4119150,66563,1642900,900,2475350,30776,22829,7947
wilkes,2010,12,4029790,69063,1633590,2920,2393280,29806,22109,7697
wilkes,2011,7,4198740,69162,1815330,4550,2378860,30381,22580,7801
wilkes,2012,10,3906990,69265,1779840,2960,2124190,30319,22465,7854
wilkes,2013,15,3855860,69184,1760430,2400,2093030,30361,22261,8100
wilkes,2014,26,3740160,69093,1879140,1200,1859820,30333,22511,7822
wilson,2009,1,3625604,76765,2466000,2104,1157500,46986,39662,7324
wilson,2010,1,3636690,79533,2579330,13800,1043560,46632,39235,7397
wilson,2011,4,4216120,80351,3009860,12400,1193860,47635,39345,8290
wilson,2012,2,3899110,81020,2892740,2900,1003470,47311,39397,7914
wilson,2013,3,3592710,81365,2778310,11600,802800,47385,39494,7891
wilson,2014,1,3363210,81499,2662730,11100,689380,48249,39861,8388
yadkin,2009,5,1402500,37520,562800,0,839700,14380,10063,4317
yadkin,2010,6,1444490,38158,630100,0,814390,14329,10114,4215
yadkin,2011,6,1701890,38232,806730,0,895160,15290,10632,4658
yadkin,2012,7,1809560,38254,890900,0,918660,15302,10724,4578
yadkin,2013,6,1896390,38217,879300,0,1017090,15538,11059,4479
yadkin,2014,9,1658380,38101,882580,0,775800,14921,10389,4532
yancey,2009,3,1074500,18336,996900,100,77500,6717,4209,2508
yancey,2010,5,976400,17911,963300,100,13000,6469,4041,2428
yancey,2011,4,1022100,17885,702500,400,319200,6597,4129,2468
yancey,2012,5,985900,17814,344700,100,641100,6455,4061,2394
yancey,2013,0,972730,17724,272300,600,699830,6562,4020,2542
yancey,2014,4,903430,17662,259300,300,643830,6627,4092,2535
