"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37019","Brunswick, NC","7020","  Wage and salary employment",29481,30943,31120,29711,29434,29166,29935,30981,31488,32260,33284,34445,35089
"37019","Brunswick, NC","7040","  Proprietors employment",13694,14952,14512,14635,13894,14194,14226,14987,15712,16039,16906,16954,17423
"37021","Buncombe, NC","70","Proprietors' income 9/",698919,656642,615082,502529,532796,569371,683896,723002,881198,927924,1044774,1065270,1100442
"37021","Buncombe, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37021","Buncombe, NC","7010","Total employment",150985,157641,157313,151810,152432,155685,158726,162410,167785,174535,180142,184358,188883
"37021","Buncombe, NC","7020","  Wage and salary employment",119184,123194,123058,116988,117438,118817,121353,123921,126996,132152,135659,137909,141078
"37021","Buncombe, NC","7040","  Proprietors employment",31801,34447,34255,34822,34994,36868,37373,38489,40789,42383,44483,46449,47805
"37023","Burke, NC","70","Proprietors' income 9/",131436,121295,125496,122226,150757,127060,147169,138896,142302,140938,142709,148735,154501
"37023","Burke, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37023","Burke, NC","7010","Total employment",43073,42478,41197,37874,37085,37550,37845,38354,38478,38697,38808,38994,38895
"37023","Burke, NC","7020","  Wage and salary employment",35781,34739,33648,30619,29856,30285,30819,31289,31347,31466,31289,31404,31119
"37023","Burke, NC","7040","  Proprietors employment",7292,7739,7549,7255,7229,7265,7026,7065,7131,7231,7519,7590,7776
"37025","Cabarrus, NC","70","Proprietors' income 9/",260598,280096,308329,298711,375153,451245,447749,434061,459241,491167,498266,555472,573833
"37025","Cabarrus, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37025","Cabarrus, NC","7010","Total employment",83442,88776,88652,85329,83473,85050,86966,88999,91801,95005,100359,105257,106822
"37025","Cabarrus, NC","7020","  Wage and salary employment",67319,70992,70799,67397,65523,65346,67666,69053,70694,72923,77304,81050,81889
"37025","Cabarrus, NC","7040","  Proprietors employment",16123,17784,17853,17932,17950,19704,19300,19946,21107,22082,23055,24207,24933
"37027","Caldwell, NC","70","Proprietors' income 9/",154647,133831,114710,110513,119244,115473,134715,122002,123584,122299,122367,128609,132654
"37027","Caldwell, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37027","Caldwell, NC","7010","Total employment",37571,36882,36132,34196,33421,33000,32079,32036,31915,32410,33029,33789,34687
"37027","Caldwell, NC","7020","  Wage and salary employment",30164,29072,28536,26611,26050,25675,24794,24767,24549,25091,25860,26602,27306
"37027","Caldwell, NC","7040","  Proprietors employment",7407,7810,7596,7585,7371,7325,7285,7269,7366,7319,7169,7187,7381
"37029","Camden, NC","70","Proprietors' income 9/",19844,18751,18285,19113,19080,23707,27928,25346,18811,18454,17804,19105,19835
"37029","Camden, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37029","Camden, NC","7010","Total employment",3532,3604,3613,3422,3211,3012,2889,2764,2691,2766,2738,2672,2606
"37029","Camden, NC","7020","  Wage and salary employment",2364,2421,2396,2239,2161,1932,1767,1609,1562,1641,1596,1524,1429
"37029","Camden, NC","7040","  Proprietors employment",1168,1183,1217,1183,1050,1080,1122,1155,1129,1125,1142,1148,1177
