"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37089","Henderson, NC","7020","  Wage and salary employment",39162,39663,39301,36303,35955,36322,36313,37379,37476,37894,39592,40105,41375
"37089","Henderson, NC","7040","  Proprietors employment",12466,13674,13358,13112,12870,13901,13961,13950,14423,14488,14376,15085,15492
"37091","Hertford, NC","70","Proprietors' income 9/",36370,33908,28549,28283,37056,19444,39184,47347,38258,37859,36242,44300,27853
"37091","Hertford, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37091","Hertford, NC","7010","Total employment",11520,11934,11979,11782,11459,11177,11303,11358,11439,11278,11324,11358,11473
"37091","Hertford, NC","7020","  Wage and salary employment",10075,10193,10336,10269,9974,9645,9743,9799,9835,9663,9675,9675,9737
"37091","Hertford, NC","7040","  Proprietors employment",1445,1741,1643,1513,1485,1532,1560,1559,1604,1615,1649,1683,1736
"37093","Hoke, NC","70","Proprietors' income 9/",38797,28814,32154,31601,47230,50062,55169,63301,58805,44285,45904,62892,51903
"37093","Hoke, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37093","Hoke, NC","7010","Total employment",10697,11319,11205,11143,11189,11365,11613,11840,11956,12268,13190,13508,13640
"37093","Hoke, NC","7020","  Wage and salary employment",8610,9050,8951,8864,8810,8650,8729,8893,8602,8972,9377,9479,9514
"37093","Hoke, NC","7040","  Proprietors employment",2087,2269,2254,2279,2379,2715,2884,2947,3354,3296,3813,4029,4126
"37095","Hyde, NC","70","Proprietors' income 9/",20236,30356,1436,4041,-6766,2606,32945,51768,51256,50659,31264,39951,38374
"37095","Hyde, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37095","Hyde, NC","7010","Total employment",3053,3121,3155,2918,3134,3197,3238,3289,3419,3371,3329,3322,3396
"37095","Hyde, NC","7020","  Wage and salary employment",2122,2162,2198,1998,2166,2223,2223,2272,2372,2389,2329,2327,2375
"37095","Hyde, NC","7040","  Proprietors employment",931,959,957,920,968,974,1015,1017,1047,982,1000,995,1021
"37097","Iredell, NC","70","Proprietors' income 9/",538212,480096,416832,342535,437294,483077,603394,617359,654033,603759,570861,578748,582462
"37097","Iredell, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37097","Iredell, NC","7010","Total employment",85928,89639,88565,83787,83825,86461,88030,90115,93393,95772,98551,99681,102837
"37097","Iredell, NC","7020","  Wage and salary employment",68412,70468,69675,64766,64891,66310,67825,69445,71853,73963,76023,76329,78847
"37097","Iredell, NC","7040","  Proprietors employment",17516,19171,18890,19021,18934,20151,20205,20670,21540,21809,22528,23352,23990
"37099","Jackson, NC","70","Proprietors' income 9/",99931,79855,55022,28383,39831,33802,51524,53423,60836,59578,59259,66218,68718
"37099","Jackson, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37099","Jackson, NC","7010","Total employment",21885,22508,21847,20399,19993,20558,20835,21417,21829,22573,23524,23101,23838
"37099","Jackson, NC","7020","  Wage and salary employment",17399,17795,17221,15861,15522,15802,16039,16767,16968,17691,18766,18494,19120
"37099","Jackson, NC","7040","  Proprietors employment",4486,4713,4626,4538,4471,4756,4796,4650,4861,4882,4758,4607,4718
"37101","Johnston, NC","70","Proprietors' income 9/",365262,304741,311071,280316,298164,307219,376693,369539,427917,439815,455770,489336,477294
"37101","Johnston, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37101","Johnston, NC","7010","Total employment",59809,63397,62464,59997,59924,61078,62321,63046,65796,67888,72012,74324,76647
"37101","Johnston, NC","7020","  Wage and salary employment",45573,47863,46849,44471,44523,44857,45997,46043,48006,49872,50443,51505,53173
"37101","Johnston, NC","7040","  Proprietors employment",14236,15534,15615,15526,15401,16221,16324,17003,17790,18016,21569,22819,23474
"37103","Jones, NC","70","Proprietors' income 9/",32374,27233,17232,19945,36219,39263,52094,41638,33478,16983,21434,25652,13763
"37103","Jones, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37103","Jones, NC","7010","Total employment",2765,2552,2481,2506,2533,2707,2765,2756,2672,2676,2889,2849,2931
"37103","Jones, NC","7020","  Wage and salary employment",2016,1791,1747,1765,1758,1929,1939,1906,1807,1813,1892,1881,1937
"37103","Jones, NC","7040","  Proprietors employment",749,761,734,741,775,778,826,850,865,863,997,968,994
"37105","Lee, NC","70","Proprietors' income 9/",85789,89913,83896,83591,93673,85633,91286,88146,101162,102975,105837,113042,111621
"37105","Lee, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37105","Lee, NC","7010","Total employment",34949,34843,33818,31481,31819,31578,31842,31840,32241,33149,33453,33979,34371
"37105","Lee, NC","7020","  Wage and salary employment",29386,29111,28184,25895,26310,25768,25936,25929,25943,26826,27265,27631,27853
"37105","Lee, NC","7040","  Proprietors employment",5563,5732,5634,5586,5509,5810,5906,5911,6298,6323,6188,6348,6518
"37107","Lenoir, NC","70","Proprietors' income 9/",94970,111471,137296,145035,168882,170896,209522,167646,165470,139587,130355,147496,127701
"37107","Lenoir, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37107","Lenoir, NC","7010","Total employment",34757,35351,34390,32692,32581,34209,34467,35179,34944,35137,35300,35730,35992
"37107","Lenoir, NC","7020","  Wage and salary employment",29604,30028,29309,27539,27240,28702,29255,29841,29556,29779,29786,30427,30568
"37107","Lenoir, NC","7040","  Proprietors employment",5153,5323,5081,5153,5341,5507,5212,5338,5388,5358,5514,5303,5424
"37109","Lincoln, NC","70","Proprietors' income 9/",127258,126070,112078,101124,114744,114648,155039,205674,224219,219111,192017,191791,192186
"37109","Lincoln, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37109","Lincoln, NC","7010","Total employment",29879,32261,30906,29249,28388,29010,29650,30595,31340,32003,32486,32923,33743
"37109","Lincoln, NC","7020","  Wage and salary employment",22427,23872,23104,21025,20684,20595,21241,22067,22475,23045,23768,23881,24458
"37109","Lincoln, NC","7040","  Proprietors employment",7452,8389,7802,8224,7704,8415,8409,8528,8865,8958,8718,9042,9285
"37111","McDowell, NC","70","Proprietors' income 9/",73502,65311,64980,66292,70152,60159,63947,59190,60030,62762,59134,63583,64907
"37111","McDowell, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37111","McDowell, NC","7010","Total employment",21178,21836,20965,19064,18951,19190,19411,19421,20383,21027,20749,20685,20981
"37111","McDowell, NC","7020","  Wage and salary employment",17287,17590,16860,15202,15245,15417,15771,15795,16674,17277,17017,16900,17100
"37111","McDowell, NC","7040","  Proprietors employment",3891,4246,4105,3862,3706,3773,3640,3626,3709,3750,3732,3785,3881
"37113","Macon, NC","70","Proprietors' income 9/",99712,85460,79646,69130,70400,71262,77992,75405,78613,84163,88909,96533,100347
"37113","Macon, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37113","Macon, NC","7010","Total employment",17511,17962,17684,16515,15991,16432,16372,16151,16683,16971,17066,17195,17557
"37113","Macon, NC","7020","  Wage and salary employment",12574,12756,12665,11645,11321,11346,11401,11374,11723,11873,11879,11931,12162
"37113","Macon, NC","7040","  Proprietors employment",4937,5206,5019,4870,4670,5086,4971,4777,4960,5098,5187,5264,5395
"37115","Madison, NC","70","Proprietors' income 9/",44723,41383,37494,35839,40778,34830,37609,37990,46649,47957,49364,54787,55359
"37115","Madison, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37115","Madison, NC","7010","Total employment",7843,8084,8039,7820,7711,7679,7339,7329,7530,7563,7621,7717,7904
"37115","Madison, NC","7020","  Wage and salary employment",4757,4785,4774,4638,4588,4444,4077,4113,4183,4146,4151,4155,4250
"37115","Madison, NC","7040","  Proprietors employment",3086,3299,3265,3182,3123,3235,3262,3216,3347,3417,3470,3562,3654
"37117","Martin, NC","70","Proprietors' income 9/",40797,33172,32713,42668,46777,33447,55950,24607,22338,20693,19683,16980,14525
"37117","Martin, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37117","Martin, NC","7010","Total employment",11773,11487,11505,10839,10431,10214,9913,10178,10541,10334,10404,10195,9945
"37117","Martin, NC","7020","  Wage and salary employment",9715,9441,9492,8865,8543,8188,7930,8216,8212,8066,8197,8017,7706
"37117","Martin, NC","7040","  Proprietors employment",2058,2046,2013,1974,1888,2026,1983,1962,2329,2268,2207,2178,2239
"37119","Mecklenburg, NC","70","Proprietors' income 9/",8051670,12841468,19863109,15016048,6358628,6689878,13002642,6835158,6182418,6587610,7570493,8683839,9070715
"37119","Mecklenburg, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37119","Mecklenburg, NC","7010","Total employment",685244,718977,725359,697717,697231,731403,752081,775296,809919,844721,875414,904514,931583
"37119","Mecklenburg, NC","7020","  Wage and salary employment",577862,600623,604128,573301,571502,592222,612817,630909,658381,687309,712521,733223,754255
"37119","Mecklenburg, NC","7040","  Proprietors employment",107382,118354,121231,124416,125729,139181,139264,144387,151538,157412,162893,171291,177328
"37121","Mitchell, NC","70","Proprietors' income 9/",21901,21380,16144,17991,23153,22909,25064,21748,21763,20051,20202,21346,22387
"37121","Mitchell, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37121","Mitchell, NC","7010","Total employment",8231,8054,7681,7504,7460,7354,7400,7453,7331,7222,7073,7007,6995
"37121","Mitchell, NC","7020","  Wage and salary employment",6278,6005,5738,5588,5626,5468,5547,5605,5535,5368,5254,5184,5125
"37121","Mitchell, NC","7040","  Proprietors employment",1953,2049,1943,1916,1834,1886,1853,1848,1796,1854,1819,1823,1870
"37123","Montgomery, NC","70","Proprietors' income 9/",64079,54168,34815,33957,49074,38901,59713,72592,80579,75656,64559,73415,72741
"37123","Montgomery, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37123","Montgomery, NC","7010","Total employment",13137,12948,12259,11381,11386,11529,11572,12022,12139,12388,12428,12452,12332
"37123","Montgomery, NC","7020","  Wage and salary employment",10987,10673,10076,9229,9181,9236,9383,9824,9845,10096,10177,10209,10032
"37123","Montgomery, NC","7040","  Proprietors employment",2150,2275,2183,2152,2205,2293,2189,2198,2294,2292,2251,2243,2300
"37125","Moore, NC","70","Proprietors' income 9/",241860,237407,213913,203502,256544,241078,292624,300910,345168,356095,349200,364608,366482
"37125","Moore, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37125","Moore, NC","7010","Total employment",44697,45839,45534,44327,44346,45649,45784,46900,48202,48528,50670,50883,52759
"37125","Moore, NC","7020","  Wage and salary employment",33684,34170,33691,32277,32471,33241,33704,34454,35401,35678,37052,37302,38854
"37125","Moore, NC","7040","  Proprietors employment",11013,11669,11843,12050,11875,12408,12080,12446,12801,12850,13618,13581,13905
"37127","Nash, NC","70","Proprietors' income 9/",178373,166259,181549,178669,209215,176328,199688,188194,217564,213518,213127,205865,191380
"37127","Nash, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37127","Nash, NC","7010","Total employment",53287,55175,54756,51832,51056,52406,51697,51353,51879,52612,52293,52017,52781
"37127","Nash, NC","7020","  Wage and salary employment",44995,46377,46216,43105,42452,42491,42576,42231,42559,43312,42850,42403,42916
"37127","Nash, NC","7040","  Proprietors employment",8292,8798,8540,8727,8604,9915,9121,9122,9320,9300,9443,9614,9865
"37129","New Hanover, NC","70","Proprietors' income 9/",688252,609646,508753,393175,391545,280373,235028,351169,484811,528974,638986,608020,636171
"37129","New Hanover, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37129","New Hanover, NC","7010","Total employment",134004,140815,139547,133214,131584,134931,136475,139622,144289,148339,153238,154525,159251
"37129","New Hanover, NC","7020","  Wage and salary employment",106802,111905,110408,103445,101946,104156,105128,107191,110655,114446,117767,119870,123557
"37129","New Hanover, NC","7040","  Proprietors employment",27202,28910,29139,29769,29638,30775,31347,32431,33634,33893,35471,34655,35694
"37131","Northampton, NC","70","Proprietors' income 9/",60753,41588,24619,28788,24300,36907,51413,35762,14296,6967,8264,20761,10821
"37131","Northampton, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37131","Northampton, NC","7010","Total employment",8256,8376,7958,7628,7173,7142,7125,7173,7199,7237,7260,7112,7097
"37131","Northampton, NC","7020","  Wage and salary employment",6503,6366,6042,5798,5473,5376,5385,5513,5473,5513,5508,5386,5326
"37131","Northampton, NC","7040","  Proprietors employment",1753,2010,1916,1830,1700,1766,1740,1660,1726,1724,1752,1726,1771
"37133","Onslow, NC","70","Proprietors' income 9/",224309,228139,245832,246279,314738,289943,329948,380027,383952,357787,331027,353619,361580
"37133","Onslow, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37133","Onslow, NC","7010","Total employment",102152,104594,109708,113560,114629,114456,113433,113476,112788,110286,111834,115950,115011
"37133","Onslow, NC","7020","  Wage and salary employment",88690,90715,95930,99639,101034,100451,99165,98651,97456,94808,96463,99347,97907
"37133","Onslow, NC","7040","  Proprietors employment",13462,13879,13778,13921,13595,14005,14268,14825,15332,15478,15371,16603,17104
"37135","Orange, NC","70","Proprietors' income 9/",649319,614711,628647,431847,534915,484190,535392,505641,525862,519405,548796,589555,609953
"37135","Orange, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37135","Orange, NC","7010","Total employment",82434,85648,86523,86133,86642,88257,89555,91590,94163,96665,102454,103596,106694
"37135","Orange, NC","7020","  Wage and salary employment",66565,68912,69573,68839,69278,70434,71416,72994,74962,76529,79523,79878,82384
"37135","Orange, NC","7040","  Proprietors employment",15869,16736,16950,17294,17364,17823,18139,18596,19201,20136,22931,23718,24310
"37137","Pamlico, NC","70","Proprietors' income 9/",34101,32713,31049,27404,34013,30174,34987,39381,30955,24864,25570,27221,28440
"37137","Pamlico, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37137","Pamlico, NC","7010","Total employment",4841,5005,5073,4899,4877,4884,4928,4952,5119,5096,5249,5079,5090
"37137","Pamlico, NC","7020","  Wage and salary employment",3290,3383,3417,3261,3293,3315,3383,3393,3575,3576,3545,3511,3479
"37137","Pamlico, NC","7040","  Proprietors employment",1551,1622,1656,1638,1584,1569,1545,1559,1544,1520,1704,1568,1611
"37139","Pasquotank, NC","70","Proprietors' income 9/",97448,82455,70950,64169,76920,68059,85219,85161,75404,64155,68887,76994,68827
"37139","Pasquotank, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37139","Pasquotank, NC","7010","Total employment",23231,24035,23718,22504,22205,21968,21930,21657,21718,22316,22336,22489,22369
"37139","Pasquotank, NC","7020","  Wage and salary employment",19507,20182,20019,18812,18489,18213,18100,17814,17686,18172,18206,18264,18030
"37139","Pasquotank, NC","7040","  Proprietors employment",3724,3853,3699,3692,3716,3755,3830,3843,4032,4144,4130,4225,4339
"37141","Pender, NC","70","Proprietors' income 9/",107583,111947,120109,118402,146063,130623,149816,150392,142493,128669,140502,160217,144530
"37141","Pender, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37141","Pender, NC","7010","Total employment",16843,17263,16969,16253,16022,16075,16207,16670,17498,17959,19522,19837,20432
"37141","Pender, NC","7020","  Wage and salary employment",11326,11520,11461,10667,10660,10399,10509,10815,11355,11767,12308,12594,12980
"37141","Pender, NC","7040","  Proprietors employment",5517,5743,5508,5586,5362,5676,5698,5855,6143,6192,7214,7243,7452
"37143","Perquimans, NC","70","Proprietors' income 9/",53122,39766,33666,31924,38571,36798,43153,50362,29636,18542,18254,26924,21373
"37143","Perquimans, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37143","Perquimans, NC","7010","Total employment",3763,3860,3756,3744,3624,3754,3737,3772,3851,3833,3907,3926,4034
"37143","Perquimans, NC","7020","  Wage and salary employment",2244,2268,2242,2161,2112,2233,2215,2225,2219,2275,2314,2297,2357
"37143","Perquimans, NC","7040","  Proprietors employment",1519,1592,1514,1583,1512,1521,1522,1547,1632,1558,1593,1629,1677
"37145","Person, NC","70","Proprietors' income 9/",54624,50167,57780,54122,62764,58403,72105,66466,76572,65485,59408,66038,58110
"37145","Person, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37145","Person, NC","7010","Total employment",15475,15465,14925,14212,14047,14212,14180,13988,14091,14472,14714,14315,14324
"37145","Person, NC","7020","  Wage and salary employment",12095,11842,11316,10581,10515,10545,10621,10417,10433,10892,10989,10639,10565
"37145","Person, NC","7040","  Proprietors employment",3380,3623,3609,3631,3532,3667,3559,3571,3658,3580,3725,3676,3759
"37147","Pitt, NC","70","Proprietors' income 9/",332304,317370,318973,293958,351486,316669,390214,417692,410743,380373,404260,451742,450466
"37147","Pitt, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37147","Pitt, NC","7010","Total employment",89256,93882,94593,91737,91866,93859,95599,96308,97881,98448,99310,100461,102454
"37147","Pitt, NC","7020","  Wage and salary employment",74625,78026,78870,75930,76158,76573,78981,79616,80806,81558,81941,82837,84343
"37147","Pitt, NC","7040","  Proprietors employment",14631,15856,15723,15807,15708,17286,16618,16692,17075,16890,17369,17624,18111
"37149","Polk, NC","70","Proprietors' income 9/",62439,61391,59198,48832,59290,64322,68552,74677,78913,76916,67705,59276,59595
"37149","Polk, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37149","Polk, NC","7010","Total employment",8256,8673,8482,8139,7917,8184,8058,8222,8380,8689,8766,8736,8772
"37149","Polk, NC","7020","  Wage and salary employment",5386,5608,5505,5220,5133,5046,4925,5057,5198,5443,5539,5429,5382
"37149","Polk, NC","7040","  Proprietors employment",2870,3065,2977,2919,2784,3138,3133,3165,3182,3246,3227,3307,3390
"37151","Randolph, NC","70","Proprietors' income 9/",341966,305037,248752,272110,341453,307590,345484,366991,403054,401872,390263,437282,430162
"37151","Randolph, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37151","Randolph, NC","7010","Total employment",66899,68491,66602,63287,62887,62248,62275,62176,63683,63825,63922,64106,64673
"37151","Randolph, NC","7020","  Wage and salary employment",51842,52250,50782,47359,47312,46399,46480,46335,46826,47326,47665,47633,47744
"37151","Randolph, NC","7040","  Proprietors employment",15057,16241,15820,15928,15575,15849,15795,15841,16857,16499,16257,16473,16929
"37153","Richmond, NC","70","Proprietors' income 9/",81843,71582,50125,54580,73616,60057,78888,99387,110900,110855,96553,111018,112052
"37153","Richmond, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37153","Richmond, NC","7010","Total employment",19414,19691,19210,18071,18150,18003,18030,17997,17967,17959,18060,18033,18044
"37153","Richmond, NC","7020","  Wage and salary employment",16566,16654,16351,15138,15258,14927,14768,14582,14665,14877,14827,14791,14723
"37153","Richmond, NC","7040","  Proprietors employment",2848,3037,2859,2933,2892,3076,3262,3415,3302,3082,3233,3242,3321
"37155","Robeson, NC","70","Proprietors' income 9/",207822,185162,208775,210187,229349,216385,259357,270950,251248,215522,203908,226270,206269
"37155","Robeson, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37155","Robeson, NC","7010","Total employment",52984,56253,55529,53683,52744,53773,53424,53194,53282,53408,52461,52182,52434
"37155","Robeson, NC","7020","  Wage and salary employment",43131,45625,45219,43076,42170,41383,41261,41289,41604,42209,41723,41654,41643
"37155","Robeson, NC","7040","  Proprietors employment",9853,10628,10310,10607,10574,12390,12163,11905,11678,11199,10738,10528,10791
"37157","Rockingham, NC","70","Proprietors' income 9/",154954,134184,157290,145029,173790,144306,172046,153663,158846,151864,157130,159345,159782
"37157","Rockingham, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37157","Rockingham, NC","7010","Total employment",41237,40408,39746,37655,37962,38236,37634,36931,37176,37030,37080,36147,35915
"37157","Rockingham, NC","7020","  Wage and salary employment",33004,31853,31273,29070,29400,29377,28807,28002,28135,28023,28454,27516,27074
"37157","Rockingham, NC","7040","  Proprietors employment",8233,8555,8473,8585,8562,8859,8827,8929,9041,9007,8626,8631,8841
"37159","Rowan, NC","70","Proprietors' income 9/",232768,215972,188960,170089,220240,230971,248950,260516,265137,269136,260226,271727,272502
"37159","Rowan, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37159","Rowan, NC","7010","Total employment",64180,64435,64501,62036,60398,61870,62222,61144,62248,64240,65255,66110,67115
"37159","Rowan, NC","7020","  Wage and salary employment",52066,51570,51720,49299,47605,47986,48549,47435,48238,50481,50686,51375,51987
"37159","Rowan, NC","7040","  Proprietors employment",12114,12865,12781,12737,12793,13884,13673,13709,14010,13759,14569,14735,15128
"37161","Rutherford, NC","70","Proprietors' income 9/",141539,122630,102147,80380,101430,101172,121426,115627,127421,107467,103992,106582,109183
"37161","Rutherford, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37161","Rutherford, NC","7010","Total employment",28986,28651,28454,26524,25776,26615,26340,26221,26460,26370,26295,26147,26764
"37161","Rutherford, NC","7020","  Wage and salary employment",22705,21927,21890,20066,19519,19810,19686,19438,19680,19607,19535,19325,19790
"37161","Rutherford, NC","7040","  Proprietors employment",6281,6724,6564,6458,6257,6805,6654,6783,6780,6763,6760,6822,6974
"37163","Sampson, NC","70","Proprietors' income 9/",252203,212511,217777,244866,336547,296526,329285,400091,434722,373199,298993,347784,256044
"37163","Sampson, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37163","Sampson, NC","7010","Total employment",26774,27932,27648,26033,25559,25854,25232,25288,25386,25415,25768,25358,25666
"37163","Sampson, NC","7020","  Wage and salary employment",21628,22478,22256,20414,20168,20309,19867,20019,20098,20213,20290,19957,20131
"37163","Sampson, NC","7040","  Proprietors employment",5146,5454,5392,5619,5391,5545,5365,5269,5288,5202,5478,5401,5535
"37165","Scotland, NC","70","Proprietors' income 9/",74639,59854,59657,77828,90049,57761,55556,67664,64926,60000,55561,62410,61347
"37165","Scotland, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37165","Scotland, NC","7010","Total employment",18622,17620,17258,15921,15405,15486,15052,14935,15233,15232,15286,15201,15326
"37165","Scotland, NC","7020","  Wage and salary employment",16512,15287,14863,13548,13041,12648,12299,12308,12526,12559,12511,12477,12529
"37165","Scotland, NC","7040","  Proprietors employment",2110,2333,2395,2373,2364,2838,2753,2627,2707,2673,2775,2724,2797
"37167","Stanly, NC","70","Proprietors' income 9/",140266,139652,102219,94990,115623,119091,141761,145088,152753,149228,164015,188109,185807
"37167","Stanly, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37167","Stanly, NC","7010","Total employment",27452,27932,27402,26272,25802,26228,26034,26450,26610,26571,26593,26949,27210
"37167","Stanly, NC","7020","  Wage and salary employment",21325,21341,20981,19741,19378,19429,19528,19947,19919,20085,20324,20600,20696
"37167","Stanly, NC","7040","  Proprietors employment",6127,6591,6421,6531,6424,6799,6506,6503,6691,6486,6269,6349,6514
"37169","Stokes, NC","70","Proprietors' income 9/",72253,72696,73655,72125,84185,68810,76533,70718,82202,81134,68523,73977,69709
"37169","Stokes, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37169","Stokes, NC","7010","Total employment",12975,13150,13039,12977,12684,12935,12767,12844,13095,13396,13230,13532,13777
"37169","Stokes, NC","7020","  Wage and salary employment",8078,8017,8091,7936,7731,7836,7742,7712,7941,8097,7977,8302,8411
"37169","Stokes, NC","7040","  Proprietors employment",4897,5133,4948,5041,4953,5099,5025,5132,5154,5299,5253,5230,5366
"37171","Surry, NC","70","Proprietors' income 9/",128656,120867,109483,111630,132999,129166,142492,182644,217954,215389,199278,211240,202783
"37171","Surry, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37171","Surry, NC","7010","Total employment",41797,41975,40722,37943,37377,37987,37922,38022,38823,39070,39079,39024,39863
"37171","Surry, NC","7020","  Wage and salary employment",33877,33583,32355,29656,28890,29153,29402,29279,29848,30532,30750,30852,31496
"37171","Surry, NC","7040","  Proprietors employment",7920,8392,8367,8287,8487,8834,8520,8743,8975,8538,8329,8172,8367
"37173","Swain, NC","70","Proprietors' income 9/",22647,20778,17253,17916,18969,20680,22803,25966,27067,27979,30578,31233,32419
"37173","Swain, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37173","Swain, NC","7010","Total employment",8131,8058,7753,7882,8026,8285,8245,8138,8485,8601,8565,8531,8612
"37173","Swain, NC","7020","  Wage and salary employment",6718,6562,6367,6438,6634,6427,6336,6399,6717,6905,6839,6814,6852
"37173","Swain, NC","7040","  Proprietors employment",1413,1496,1386,1444,1392,1858,1909,1739,1768,1696,1726,1717,1760
"37175","Transylvania, NC","70","Proprietors' income 9/",111211,98251,100327,74925,71109,52805,86540,94127,104932,110978,113159,117870,122065
"37175","Transylvania, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37175","Transylvania, NC","7010","Total employment",14541,15409,15197,14697,14070,13774,13796,13851,14170,14319,14831,15032,15240
"37175","Transylvania, NC","7020","  Wage and salary employment",9622,10222,10180,9644,9263,8904,8971,9007,9162,9357,9691,9843,9918
"37175","Transylvania, NC","7040","  Proprietors employment",4919,5187,5017,5053,4807,4870,4825,4844,5008,4962,5140,5189,5322
"37177","Tyrrell, NC","70","Proprietors' income 9/",13123,10139,5645,773,5141,13730,20116,23526,17708,11560,11667,9380,5223
"37177","Tyrrell, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37177","Tyrrell, NC","7010","Total employment",1609,1635,1690,1771,1782,1744,1762,1764,1789,1755,1740,1758,1720
"37177","Tyrrell, NC","7020","  Wage and salary employment",1092,1125,1186,1252,1260,1234,1280,1282,1278,1267,1254,1290,1241
"37177","Tyrrell, NC","7040","  Proprietors employment",517,510,504,519,522,510,482,482,511,488,486,468,479
"37179","Union, NC","70","Proprietors' income 9/",489233,458925,354175,337578,443033,403548,541529,535330,611564,658709,652690,770905,790361
"37179","Union, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37179","Union, NC","7010","Total employment",78059,84084,83587,79640,77644,81351,82952,85447,88860,91783,94923,98886,101068
"37179","Union, NC","7020","  Wage and salary employment",58118,62095,61294,56728,54854,56373,58094,59715,62104,63939,66271,68248,69542
"37179","Union, NC","7040","  Proprietors employment",19941,21989,22293,22912,22790,24978,24858,25732,26756,27844,28652,30638,31526
"37181","Vance, NC","70","Proprietors' income 9/",88757,90676,108434,98624,96142,80032,81964,75180,81938,80862,77693,74079,71917
"37181","Vance, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37181","Vance, NC","7010","Total employment",21022,21164,20961,19766,19696,19234,19494,19553,19779,19926,19735,19523,19192
"37181","Vance, NC","7020","  Wage and salary employment",17520,17416,17300,15890,15880,15355,15701,15762,15729,15866,15920,15721,15291
"37181","Vance, NC","7040","  Proprietors employment",3502,3748,3661,3876,3816,3879,3793,3791,4050,4060,3815,3802,3901
"37183","Wake, NC","70","Proprietors' income 9/",2074750,1774905,2461792,1821315,2359544,1946500,2623191,2754487,3280939,3640887,3969822,4066114,4216009
"37183","Wake, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37183","Wake, NC","7010","Total employment",562611,595304,602808,587416,588268,608903,628165,647327,673213,705865,728416,752696,777027
"37183","Wake, NC","7020","  Wage and salary employment",456446,479451,484656,464590,464596,480788,497445,512009,530536,555060,574996,590991,610269
"37183","Wake, NC","7040","  Proprietors employment",106165,115853,118152,122826,123672,128115,130720,135318,142677,150805,153420,161705,166758
"37185","Warren, NC","70","Proprietors' income 9/",29637,24994,30973,25251,28224,27291,32665,28487,33392,23438,19805,22978,21686
"37185","Warren, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37185","Warren, NC","7010","Total employment",5418,5393,5610,5523,5139,5134,5115,5016,5068,5186,5166,4916,4849
"37185","Warren, NC","7020","  Wage and salary employment",3980,3853,4060,3963,3636,3646,3699,3607,3633,3704,3680,3414,3299
